,name,location,edition,restaurant_url,address
120,Fuji Bento,Manchester,editions-ordsall,https://deliveroo.co.uk/menu/Manchester/editions-ordsall/karate-kid-bento-editions-manchester?day=today&geohash=gcqrg7xdxvft&time=ASAP,"Salford Editions Unit 10, Manchester,Foundry Business Park, Ordsall Lane, Salford, Manchester, M53AN"
121,KYN Pan Asian by ZUMU,Manchester,editions-ordsall,https://deliveroo.co.uk/menu/Manchester/editions-ordsall/kyn-editions-sal?day=today&geohash=gcqrg7xdxvft&time=ASAP,"Salford Editions Unit 10, Manchester, Manchester, M53AN"
122,TRIP CBD Store,Manchester,editions-ordsall,https://deliveroo.co.uk/menu/Manchester/editions-ordsall/trip-cbd-store-editions-sal?day=today&geohash=gcqrg7xdxvft&time=ASAP,"Unit 10, Foundry Business Park, Ordsall Lane, Salford, Manchester, M53AN"
123,🌿Wawin Vegan Chinese🌿 ,Manchester,editions-ordsall,https://deliveroo.co.uk/menu/Manchester/editions-ordsall/wawin-vegan-chinese-manchester?day=today&geohash=gcqrg7xdxvft&time=1645,"Unit 10, Foundry Business Park, Ordsall Lane, Salford, Manchester,, Manchester, M53AN"
124,Proove Pizza,Manchester,editions-ordsall,https://deliveroo.co.uk/menu/Manchester/editions-ordsall/proove-editions-sal?day=today&geohash=gcqrg7xdxvft&time=1645,"Salford Editions Unit 10, Manchester, Manchester, M53AN"
125,Lower East Side 🍕 New York Style Pizza,Manchester,editions-ordsall,https://deliveroo.co.uk/menu/Manchester/editions-ordsall/lower-east-side-editions-sal?day=today&geohash=gcqrg7xdxvft&time=1645,"Unit 10, Foundry Business Park, Ordsall Lane, Salford, Manchester, M53AN"
126,PROOVegan,Manchester,editions-ordsall,https://deliveroo.co.uk/menu/Manchester/editions-ordsall/proovegan-editions-sal?day=today&geohash=gcqrg7xdxvft&time=1645,"Unit 10, Foundry, Ordsall Lane, Manchester, M53AN"
127,Burger King ,Cambridge,cambridge-editions,https://deliveroo.co.uk/menu/Cambridge/cambridge-editions/burger-king-editions-cam?day=today&geohash=u12152k2dw2m&time=ASAP,"Deliveroo Editions, Unit 3-4 Restwell House, Coldham's Road, Cambridge, CB13EW"
128,Pasta Evangelists,Cambridge,cambridge-south,https://deliveroo.co.uk/menu/Cambridge/cambridge-south/pasta-evangelists-editions-cam?day=today&geohash=u12152k2dw2m&time=ASAP,"230 Mill Rd, Cambridge, Cambridge, CB13NF"
129,Dishoom,Cambridge,cambridge-editions,https://deliveroo.co.uk/menu/Cambridge/cambridge-editions/dishoom-editions-cam?day=today&geohash=u12152k2dw2m&time=ASAP,"Unit 3-4 Restwell House, Coldham's Road, Cambridge, CB13EW"
130,Poke Fuzion,Cambridge,cambridge-editions,https://deliveroo.co.uk/menu/Cambridge/cambridge-editions/poke-fuzion-editions-cam?day=today&geohash=u12152k2dw2m&time=ASAP,"Unit 3-4 Restwell House, Coldham's Road, Cambridge, CB13EW"
131,Nomi Katsu 🇯🇵,Cambridge,cambridge-editions,https://deliveroo.co.uk/menu/Cambridge/cambridge-editions/nomi-katsu-editions-cam-new?day=today&geohash=u12152k2dw2m&time=ASAP,"Unit 3-4 Restwell House, Coldham's Road, Cambridge, CB13EW"
132,Zumuku,Cambridge,cambridge-editions,https://deliveroo.co.uk/menu/Cambridge/cambridge-editions/zumu-editions-cam?day=today&geohash=u12152k2dw2m&time=ASAP,"Unit 3-4 Restwell House, Cambridge, CB13EW"
133,Trip CBD Store,Cambridge,cambridge-editions,https://deliveroo.co.uk/menu/Cambridge/cambridge-editions/trip-cbd-store-editions-cam?day=today&geohash=u12152k2dw2m&time=ASAP,"Unit 3-4 Restwell House, Coldham's Road, Cambridge, CB13EW"
134,Ice Cream Store,Cambridge,cambridge-editions,https://deliveroo.co.uk/menu/Cambridge/cambridge-editions/ics-editions-cambridge-new?day=today&geohash=u12152k2dw2m&time=ASAP,"Unit 3-4 Restwell House, Coldham's Road, Cambridge, CB13EW"
135,Ben & Jerry's Store ,Cambridge,cambridge-editions,https://deliveroo.co.uk/menu/Cambridge/cambridge-editions/ben-and-jerrys-store-editions-cam?day=today&geohash=u12152k2dw2m&time=ASAP,"Unit 3-4 Restwell House, Coldham's Road, Cambridge, CB13EW"
136,Forketta,Cambridge,cambridge-editions,https://deliveroo.co.uk/menu/Cambridge/cambridge-editions/barilla-editions-cam?geohash=u12152k2dw2m,"Unit 3-4 Restwell House, Coldhams Road, Cambridge, CB13EW"
